time,knee_angle_l
11.8833333,105.7298825
11.9,106.0385478
11.9166667,106.2162548
11.9333333,106.3417919
11.95,106.3917383
11.9666667,106.2318795
11.9833333,106.0434685
12,105.6578776
12.0166667,105.2106461
12.0333333,104.7697618
12.05,104.2346453
12.0666667,103.9465079
12.0833333,103.5448062
12.1,102.7675852
12.1166667,101.9998644
12.1333333,101.0162287
12.15,99.90528025
12.1666667,98.87795076
12.1833333,98.00088202
12.2,96.90740161
12.2166667,95.91352429
12.2333333,94.6097251
12.25,93.38818405
12.2666667,91.91693072
12.2833333,90.62494013
12.3,89.23015542
12.3166667,87.92577396
12.3333333,86.43152527
12.35,85.00001646
12.3666667,83.47219988
12.3833333,81.83902934
12.4,80.52454758
12.4166667,79.02361545
12.4333333,77.29116309
12.45,75.58066707
12.4666667,73.82407956
12.4833333,72.21995694
12.5,70.48784035
12.5166667,68.61281049
12.5333333,66.74594513
12.55,65.03341901
12.5666667,63.18020439
12.5833333,61.20192477
12.6,59.19322357
12.6166667,57.15279122
12.6333333,54.96452656
12.65,52.75176912
12.6666667,50.69870949
12.6833333,48.42672641
12.7,46.50992745
12.7166667,44.48465414
12.7333333,42.54837528
12.75,40.5117074
12.7666667,38.51957236
12.7833333,36.65187104
12.8,35.03277648
12.8166667,33.02746456
12.8333333,31.1757749
12.85,29.35286846
12.8666667,27.49643472
12.8833333,25.56436129
12.9,23.66763343
12.9166667,22.10339283
12.9333333,20.21525897
12.95,18.45259207
12.9666667,16.89432878
12.9833333,15.39209955
13,13.95253292
13.0166667,12.68562154
13.0333333,11.56549193
13.05,10.47145327
13.0666667,9.44212537
13.0833333,8.46921063
13.1,7.69844829
13.1166667,7.03520778
13.1333333,6.26012069
13.15,5.75052104
13.1666667,5.23678536
13.1833333,4.77637615
13.2,4.40063796
13.2166667,4.00510128
13.2333333,3.79882643
13.25,3.55580563
13.2666667,3.36636374
13.2833333,3.24011276
13.3,3.18385986
13.3166667,3.14775492
13.3333333,3.20451271
13.35,3.17638052
13.3666667,3.24616217
13.3833333,3.36208644
13.4,3.3656251
13.4166667,3.50911296
13.4333333,3.477994
13.45,3.50436971
13.4666667,3.44944635
13.4833333,3.35582644
13.5,3.09550002
13.5166667,3.10512703
13.5333333,3.00917368
13.55,2.97555542
13.5666667,2.78676886
13.5833333,2.82293443
13.6,2.80125514
13.6166667,2.61693414
13.6333333,2.6436437
13.65,2.48878765
13.6666667,2.26923066
13.6833333,2.34080303
13.7,2.17163959
13.7166667,1.94761831
13.7333333,1.86501983
13.75,1.81429218
13.7666667,1.88688197
13.7833333,1.9448174
13.8,2.00669663
13.8166667,2.01583169
13.8333333,2.14007671
13.85,2.17011565
13.8666667,2.21260749
13.8833333,2.23774092
13.9,2.25298138
13.9166667,2.26676303
13.9333333,2.27382244
13.95,2.35523172
13.9666667,2.36516756
13.9833333,2.41884699
14,2.46583983
14.0166667,2.50039613
14.0333333,2.52383528
14.05,2.51233039
14.0666667,2.52250809
14.0833333,2.5386018
14.1,2.50939656
14.1166667,2.57076937
14.1333333,2.57554144
14.15,2.60045639
14.1666667,2.57165167
14.1833333,2.58774014
14.2,2.57301775
14.2166667,2.55562318
14.2333333,2.5523892
14.25,2.52732148
14.2666667,2.49650906
14.2833333,2.44063204
14.3,2.37087801
14.3166667,2.32194994
14.3333333,2.30108319
